metric_type,metric_name,value,std_dev
NDCG@25,hybrid vs Cosine,0.999906,0.000361
NDCG@25,taumode vs Cosine,0.999906,0.000361
NDCG@25,taumode vs hybrid,0.999906,0.000361
Tail/Head Ratio,Cosine (τ=1.0),0.910765,0.033670
Tail/Head Ratio,hybrid (τ=0.72),0.893468,0.040386
Tail/Head Ratio,taumode (τ=0.42),0.871175,0.048400
Traditional Recall@k,Cosine,1.000000,0.000000
Semantic Recall@k,Cosine,1.000000,0.000000
Tolerant Recall@k,Cosine,1.000000,0.000000
Traditional Recall@k,Hybrid,1.000000,0.000000
Semantic Recall@k,Hybrid,1.000000,0.000000
Tolerant Recall@k,Hybrid,1.000000,0.000000
Traditional Recall@k,Taumode,1.000000,0.000000
Semantic Recall@k,Taumode,1.000000,0.000000
Tolerant Recall@k,Taumode,1.000000,0.000000
